area_code,area_name,indicator,group,measure,value
E07000163,Craven,Voted leave in EU referendum,NA,Percentage,52.83
E07000164,Hambleton,Voted leave in EU referendum,NA,Percentage,53.66
E07000165,Harrogate,Voted leave in EU referendum,NA,Percentage,49.03
E07000166,Richmondshire,Voted leave in EU referendum,NA,Percentage,56.78
E07000167,Ryedale,Voted leave in EU referendum,NA,Percentage,55.26
E07000168,Scarborough,Voted leave in EU referendum,NA,Percentage,61.99
E07000169,Selby,Voted leave in EU referendum,NA,Percentage,59.17
E08000016,Barnsley,Voted leave in EU referendum,NA,Percentage,68.31
E08000017,Doncaster,Voted leave in EU referendum,NA,Percentage,68.96
E08000018,Rotherham,Voted leave in EU referendum,NA,Percentage,67.89
E08000019,Sheffield,Voted leave in EU referendum,NA,Percentage,50.99
E08000032,Bradford,Voted leave in EU referendum,NA,Percentage,54.23
E08000033,Calderdale,Voted leave in EU referendum,NA,Percentage,55.68
E08000034,Kirklees,Voted leave in EU referendum,NA,Percentage,54.67
E08000035,Leeds,Voted leave in EU referendum,NA,Percentage,49.69
E08000036,Wakefield,Voted leave in EU referendum,NA,Percentage,66.36
